year,county_ID,county_name,urbanicity,region,pop_category,population,prison_population
1991,6001,Alameda,urban,West,Total,896633,3804
1992,6001,Alameda,urban,West,Total,905440,3863
1993,6001,Alameda,urban,West,Total,905948,3987
1994,6001,Alameda,urban,West,Total,904792,4236
1995,6001,Alameda,urban,West,Total,906566,4325
1996,6001,Alameda,urban,West,Total,914648,4713
1997,6001,Alameda,urban,West,Total,935240,4873
1998,6001,Alameda,urban,West,Total,960308,5046
1999,6001,Alameda,urban,West,Total,980847,5144
2000,6001,Alameda,urban,West,Total,1001712,5401
2001,6001,Alameda,urban,West,Total,1020661,5210
2002,6001,Alameda,urban,West,Total,1017808,5165
2003,6001,Alameda,urban,West,Total,1013418,4832
2004,6001,Alameda,urban,West,Total,1009491,4845
2005,6001,Alameda,urban,West,Total,1008446,4866
2006,6001,Alameda,urban,West,Total,1013204,4878
2007,6001,Alameda,urban,West,Total,1022616,4752
2008,6001,Alameda,urban,West,Total,1037557,4910
2009,6001,Alameda,urban,West,Total,1051949,4766
2010,6001,Alameda,urban,West,Total,1059247,4600
2011,6001,Alameda,urban,West,Total,1061211,4109
2012,6001,Alameda,urban,West,Total,1073527,3809
2013,6001,Alameda,urban,West,Total,1087374,3888
2014,6001,Alameda,urban,West,Total,1102981,3824
2015,6001,Alameda,urban,West,Total,1120496,3762
1991,6005,Amador,rural,West,Total,20956,108
1992,6005,Amador,rural,West,Total,21182,95
1993,6005,Amador,rural,West,Total,21410,114
1994,6005,Amador,rural,West,Total,21558,115
1995,6005,Amador,rural,West,Total,21723,109
1996,6005,Amador,rural,West,Total,21917,100
1997,6005,Amador,rural,West,Total,22285,120
1998,6005,Amador,rural,West,Total,22332,108
1999,6005,Amador,rural,West,Total,23081,122
2000,6005,Amador,rural,West,Total,23276,129
2001,6005,Amador,rural,West,Total,23780,129
2002,6005,Amador,rural,West,Total,24465,147
2003,6005,Amador,rural,West,Total,24772,169
2004,6005,Amador,rural,West,Total,25208,175
2005,6005,Amador,rural,West,Total,25754,198
2006,6005,Amador,rural,West,Total,26016,197
2007,6005,Amador,rural,West,Total,26203,205
2008,6005,Amador,rural,West,Total,25694,205
2009,6005,Amador,rural,West,Total,25531,212
2010,6005,Amador,rural,West,Total,25259,202
2011,6005,Amador,rural,West,Total,25033,159
2012,6005,Amador,rural,West,Total,24673,149
2013,6005,Amador,rural,West,Total,23914,146
2014,6005,Amador,rural,West,Total,23193,138
2015,6005,Amador,rural,West,Total,22959,111
1991,6007,Butte,small/mid,West,Total,116259,550
1992,6007,Butte,small/mid,West,Total,118061,659
1993,6007,Butte,small/mid,West,Total,119412,753
1994,6007,Butte,small/mid,West,Total,120387,839
1995,6007,Butte,small/mid,West,Total,121475,869
